DRXFDCD,foodcode,food_description
53118350,53116510,"Cake or cupcake, pumpkin, with icing or filling"
53120000,53120270,"Cake or cupcake, white, with icing or filling"
53120060,53120270,"Cake or cupcake, white, with icing or filling"
53120100,53120275,"Cake or cupcake, white, without icing or filling"
53120160,53120275,"Cake or cupcake, white, without icing or filling"
53120200,53120270,"Cake or cupcake, white, with icing or filling"
53120260,53120270,"Cake or cupcake, white, with icing or filling"
53120300,53120270,"Cake or cupcake, white, with icing or filling"
53120330,53120275,"Cake or cupcake, white, without icing or filling"
53120350,53120270,"Cake or cupcake, white, with icing or filling"
53121000,53121270,"Cake or cupcake, yellow, with icing or filling"
53121060,53121270,"Cake or cupcake, yellow, with icing or filling"
53121100,53121275,"Cake or cupcake, yellow, without icing or filling"
53121160,53121275,"Cake or cupcake, yellow, without icing or filling"
53121200,53121270,"Cake or cupcake, yellow, with icing or filling"
53121260,53121270,"Cake or cupcake, yellow, with icing or filling"
53121280,53121270,"Cake or cupcake, yellow, with icing or filling"
53121300,53121275,"Cake or cupcake, yellow, without icing or filling"
53121330,53121270,"Cake or cupcake, yellow, with icing or filling"
53124100,53124110,"Cake or cupcake, zucchini"
53124120,53124110,"Cake or cupcake, zucchini"
53204800,53204840,"Cookie, brownie, reduced fat, NS as to icing"
53204830,53204840,"Cookie, brownie, reduced fat, NS as to icing"
53204850,53204860,"Cookie, brownie, fat free, NS as to icing"
53205500,53205250,"Cookie, butterscotch, brownie"
53209050,53209100,"Cookie, chocolate, sandwich, with extra filling"
53216000,53215500,"Cookie, coconut"
53220020,53220030,"Cookie, fig bar"
53233030,53233040,"Cookie, oatmeal, reduced fat, NS as to raisins"
53234010,53235000,"Cookie, peanut butter sandwich"
53245000,53247000,"Cookie, vanilla wafer"
53510200,53510000,"Danish pastry, plain or spice"
53610000,53610100,"Coffee cake, crumb or quick-bread type"
56204980,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56204990,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205010,56205008,"Rice, white, cooked, fat not added in cooking"
56205020,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205030,56205008,"Rice, white, cooked, fat not added in cooking"
56205040,56205008,"Rice, white, cooked, fat not added in cooking"
56205110,56205018,"Rice, brown, cooked, fat not added in cooking"
56205120,56205012,"Rice, brown, cooked, fat added in cooking, made with oil"
56205400,56205002,"Rice, white, cooked, fat added in cooking, made with oil"
56205530,56205012,"Rice, brown, cooked, fat added in cooking, made with oil"
56205540,56205018,"Rice, brown, cooked, fat not added in cooking"
58100130,58100100,Burrito with meat
58100230,58100200,Burrito with chicken
58100240,58100200,Burrito with chicken
58100600,58100630,"Enchilada with chicken, red-chile or enchilada sauce"
58100610,58100620,"Enchilada with chicken and beans, red-chile or enchilada sauce"
58101200,58104820,Taquito or flauta with meat
58101230,58104820,Taquito or flauta with meat
58101240,58104830,Taquito or flauta with chicken
58101310,58101320,Taco or tostada with meat
58101510,58101520,Taco or tostada with chicken
58101600,58101610,Soft taco with beans
58101710,58101720,Taco or tostada with beans
58101740,58100005,"Burrito, taco, or quesadilla with egg and potato"
58101741,58100005,"Burrito, taco, or quesadilla with egg and potato"
58101742,58100005,"Burrito, taco, or quesadilla with egg and potato"
58101910,58101930,Taco or tostada salad with meat
58104100,58104120,Nachos with cheese
58104140,58104130,Nachos with meat and cheese
58104450,58104500,Chimichanga with meat
58104490,58104500,Chimichanga with meat
58104510,58104500,Chimichanga with meat
58106440,58106700,"Pizza with meat and vegetables, prepared from frozen, thin crust"
58106460,58106755,"Pizza with meat and fruit, regular crust"
58106461,58106750,"Pizza with meat and fruit, thin crust"
58106462,58106755,"Pizza with meat and fruit, regular crust"
58106463,58106760,"Pizza with meat and fruit, thick crust"
58106733,58106736,"Pizza with extra meat and extra vegetables, thin crust"
58106734,58106737,"Pizza with extra meat and extra vegetables, thick crust"
58106810,58106820,"Pizza with beans and vegetables, thin crust"
58106825,58106820,"Pizza with beans and vegetables, thin crust"
58107030,58107050,"Pizza, no cheese, thin crust"
58107060,58107050,"Pizza, no cheese, thin crust"
58107210,58107220,"White pizza, thin crust"
58107225,58107220,"White pizza, thin crust"
58145115,58145112,"Macaroni or noodles with cheese, made from packaged mix"
58145150,58145135,Macaroni or noodles with cheese and meat
58160205,58160700,"Rice, white, with other vegetables, NS as to fat added in cooking"
58160207,58160710,"Rice, white, with other vegetables, fat not added in cooking"
58160209,58160720,"Rice, white, with other vegetables, fat added in cooking"
58161405,58161530,"Rice, brown, with other vegetables, NS as to fat added in cooking"
58161407,58161532,"Rice, brown, with other vegetables, fat not added in cooking"
58161409,58161534,"Rice, brown, with other vegetables, fat added in cooking"
58406010,58403010,"Chicken or turkey noodle soup, canned or ready-to-serve"
58406020,58403040,"Chicken or turkey noodle soup, home recipe"
